run_id,protocol,trial,similarity,iteration,cpu_round_seconds,similarity_numeric,cpu_round_ms
sweep_merkle_n100000_sim00_t1,merkle,1,0,1,6.72494,0.0,6724.9400000000005
sweep_merkle_n100000_sim00_t2,merkle,2,0,1,6.502718,0.0,6502.718
sweep_merkle_n100000_sim00_t3,merkle,3,0,1,6.858665,0.0,6858.665
sweep_merkle_n100000_sim00_t4,merkle,4,0,1,6.849537999999999,0.0,6849.537999999999
sweep_merkle_n100000_sim00_t5,merkle,5,0,1,6.317824,0.0,6317.824
sweep_merkle_n100000_sim05_t1,merkle,1,0.05,1,6.269532,0.05,6269.532
sweep_merkle_n100000_sim05_t2,merkle,2,0.05,1,6.802518,0.05,6802.518
sweep_merkle_n100000_sim05_t3,merkle,3,0.05,1,6.071506,0.05,6071.506
sweep_merkle_n100000_sim05_t4,merkle,4,0.05,1,5.77822,0.05,5778.22
sweep_merkle_n100000_sim05_t5,merkle,5,0.05,1,6.050801,0.05,6050.8009999999995
sweep_merkle_n100000_sim100_t1,merkle,1,1,1,1.362316,1.0,1362.316
sweep_merkle_n100000_sim100_t2,merkle,2,1,1,1.382047,1.0,1382.047
sweep_merkle_n100000_sim100_t3,merkle,3,1,1,1.397115,1.0,1397.115
sweep_merkle_n100000_sim100_t4,merkle,4,1,1,1.409436,1.0,1409.436
sweep_merkle_n100000_sim100_t5,merkle,5,1,1,1.474263,1.0,1474.2630000000001
sweep_merkle_n100000_sim10_t1,merkle,1,0.1,1,5.53192,0.1,5531.92
sweep_merkle_n100000_sim10_t2,merkle,2,0.1,1,5.899127,0.1,5899.127
sweep_merkle_n100000_sim10_t3,merkle,3,0.1,1,5.783068,0.1,5783.068
sweep_merkle_n100000_sim10_t4,merkle,4,0.1,1,6.469998,0.1,6469.9980000000005
sweep_merkle_n100000_sim10_t5,merkle,5,0.1,1,6.297658,0.1,6297.658
sweep_merkle_n100000_sim20_t1,merkle,1,0.2,1,4.907883,0.2,4907.883
sweep_merkle_n100000_sim20_t2,merkle,2,0.2,1,5.938612,0.2,5938.612
sweep_merkle_n100000_sim20_t3,merkle,3,0.2,1,5.367202,0.2,5367.202
sweep_merkle_n100000_sim20_t4,merkle,4,0.2,1,5.597405,0.2,5597.405
sweep_merkle_n100000_sim20_t5,merkle,5,0.2,1,5.6174040000000005,0.2,5617.404
sweep_merkle_n100000_sim30_t1,merkle,1,0.3,1,4.716796,0.3,4716.796
sweep_merkle_n100000_sim30_t2,merkle,2,0.3,1,4.555705,0.3,4555.705
sweep_merkle_n100000_sim30_t3,merkle,3,0.3,1,4.643444,0.3,4643.4439999999995
sweep_merkle_n100000_sim30_t4,merkle,4,0.3,1,5.23698,0.3,5236.98
sweep_merkle_n100000_sim30_t5,merkle,5,0.3,1,5.019072,0.3,5019.072
sweep_merkle_n100000_sim40_t1,merkle,1,0.4,1,4.078239,0.4,4078.239
sweep_merkle_n100000_sim40_t2,merkle,2,0.4,1,4.094527,0.4,4094.527
sweep_merkle_n100000_sim40_t3,merkle,3,0.4,1,4.079133,0.4,4079.133
sweep_merkle_n100000_sim40_t4,merkle,4,0.4,1,4.053766,0.4,4053.7660000000005
sweep_merkle_n100000_sim40_t5,merkle,5,0.4,1,4.010143,0.4,4010.143
sweep_merkle_n100000_sim50_t1,merkle,1,0.5,1,3.680966,0.5,3680.9660000000003
sweep_merkle_n100000_sim50_t2,merkle,2,0.5,1,3.760936,0.5,3760.936
sweep_merkle_n100000_sim50_t3,merkle,3,0.5,1,3.89239,0.5,3892.39
sweep_merkle_n100000_sim50_t4,merkle,4,0.5,1,3.676198,0.5,3676.198
sweep_merkle_n100000_sim50_t5,merkle,5,0.5,1,3.754496000000001,0.5,3754.496000000001
sweep_merkle_n100000_sim60_t1,merkle,1,0.6,1,3.682491,0.6,3682.491
sweep_merkle_n100000_sim60_t2,merkle,2,0.6,1,3.559846,0.6,3559.846
sweep_merkle_n100000_sim60_t3,merkle,3,0.6,1,3.610485,0.6,3610.485
sweep_merkle_n100000_sim60_t4,merkle,4,0.6,1,3.435997,0.6,3435.997
sweep_merkle_n100000_sim60_t5,merkle,5,0.6,1,3.499723,0.6,3499.723
sweep_merkle_n100000_sim70_t1,merkle,1,0.7,1,3.277418,0.7,3277.418
sweep_merkle_n100000_sim70_t2,merkle,2,0.7,1,3.2409160000000004,0.7,3240.916
sweep_merkle_n100000_sim70_t3,merkle,3,0.7,1,3.153771,0.7,3153.7709999999997
sweep_merkle_n100000_sim70_t4,merkle,4,0.7,1,3.356664,0.7,3356.6639999999998
sweep_merkle_n100000_sim70_t5,merkle,5,0.7,1,3.243983,0.7,3243.983
sweep_merkle_n100000_sim75_t1,merkle,1,0.75,1,2.921857,0.75,2921.857
sweep_merkle_n100000_sim75_t2,merkle,2,0.75,1,2.852611,0.75,2852.611
sweep_merkle_n100000_sim75_t3,merkle,3,0.75,1,2.834226,0.75,2834.226
sweep_merkle_n100000_sim75_t4,merkle,4,0.75,1,2.911963,0.75,2911.963
sweep_merkle_n100000_sim75_t5,merkle,5,0.75,1,2.8748590000000003,0.75,2874.8590000000004
sweep_merkle_n100000_sim80_t1,merkle,1,0.8,1,3.2800710000000004,0.8,3280.0710000000004
sweep_merkle_n100000_sim80_t2,merkle,2,0.8,1,3.14166,0.8,3141.66
sweep_merkle_n100000_sim80_t3,merkle,3,0.8,1,2.836773,0.8,2836.773
sweep_merkle_n100000_sim80_t4,merkle,4,0.8,1,2.9206030000000003,0.8,2920.603
sweep_merkle_n100000_sim80_t5,merkle,5,0.8,1,2.784014,0.8,2784.014
sweep_merkle_n100000_sim85_t1,merkle,1,0.85,1,3.062649,0.85,3062.649
sweep_merkle_n100000_sim85_t2,merkle,2,0.85,1,2.730747,0.85,2730.747
sweep_merkle_n100000_sim85_t3,merkle,3,0.85,1,2.696905,0.85,2696.905
sweep_merkle_n100000_sim85_t4,merkle,4,0.85,1,2.740621,0.85,2740.621
sweep_merkle_n100000_sim85_t5,merkle,5,0.85,1,2.668415,0.85,2668.415
sweep_merkle_n100000_sim90_t1,merkle,1,0.9,1,3.150141,0.9,3150.141
sweep_merkle_n100000_sim90_t2,merkle,2,0.9,1,3.217386,0.9,3217.386
sweep_merkle_n100000_sim90_t3,merkle,3,0.9,1,2.750069,0.9,2750.069
sweep_merkle_n100000_sim90_t4,merkle,4,0.9,1,2.835255,0.9,2835.255
sweep_merkle_n100000_sim90_t5,merkle,5,0.9,1,2.879838,0.9,2879.8379999999997
sweep_merkle_n100000_sim95_t1,merkle,1,0.95,1,2.523064,0.95,2523.0640000000003
sweep_merkle_n100000_sim95_t2,merkle,2,0.95,1,2.5845960000000003,0.95,2584.5960000000005
sweep_merkle_n100000_sim95_t3,merkle,3,0.95,1,2.567969,0.95,2567.969
sweep_merkle_n100000_sim95_t4,merkle,4,0.95,1,2.5769010000000003,0.95,2576.9010000000003
sweep_merkle_n100000_sim95_t5,merkle,5,0.95,1,2.5403860000000003,0.95,2540.3860000000004
sweep_merkle_n100000_sim97_t1,merkle,1,0.97,1,2.663248,0.97,2663.248
sweep_merkle_n100000_sim97_t2,merkle,2,0.97,1,2.562703,0.97,2562.703
sweep_merkle_n100000_sim97_t3,merkle,3,0.97,1,2.4966,0.97,2496.6
sweep_merkle_n100000_sim97_t4,merkle,4,0.97,1,2.462638,0.97,2462.638
sweep_merkle_n100000_sim97_t5,merkle,5,0.97,1,2.522845,0.97,2522.845
sweep_merkle_n100000_sim99_t1,merkle,1,0.99,1,2.658431,0.99,2658.431
sweep_merkle_n100000_sim99_t2,merkle,2,0.99,1,2.398364,0.99,2398.364
sweep_merkle_n100000_sim99_t3,merkle,3,0.99,1,2.465086,0.99,2465.086
sweep_merkle_n100000_sim99_t4,merkle,4,0.99,1,2.64648,0.99,2646.48
sweep_merkle_n100000_sim99_t5,merkle,5,0.99,1,2.451701,0.99,2451.701
sweep_rbf_riblt_n100000_sim00_t1,rbf_riblt,1,0,1,3.633338,0.0,3633.338
sweep_rbf_riblt_n100000_sim00_t2,rbf_riblt,2,0,1,3.675687,0.0,3675.687
sweep_rbf_riblt_n100000_sim00_t3,rbf_riblt,3,0,1,3.5721170000000004,0.0,3572.1170000000006
sweep_rbf_riblt_n100000_sim00_t4,rbf_riblt,4,0,1,3.561064,0.0,3561.064
sweep_rbf_riblt_n100000_sim00_t5,rbf_riblt,5,0,1,3.83135,0.0,3831.35
sweep_rbf_riblt_n100000_sim05_t1,rbf_riblt,1,0.05,1,4.783733,0.05,4783.733
sweep_rbf_riblt_n100000_sim05_t2,rbf_riblt,2,0.05,1,4.222708,0.05,4222.708
sweep_rbf_riblt_n100000_sim05_t3,rbf_riblt,3,0.05,1,3.905808,0.05,3905.808
sweep_rbf_riblt_n100000_sim05_t4,rbf_riblt,4,0.05,1,3.847549,0.05,3847.549
sweep_rbf_riblt_n100000_sim05_t5,rbf_riblt,5,0.05,1,3.67778,0.05,3677.7799999999997
sweep_rbf_riblt_n100000_sim100_t1,rbf_riblt,1,1,1,3.071407,1.0,3071.407
sweep_rbf_riblt_n100000_sim100_t2,rbf_riblt,2,1,1,3.1243390000000004,1.0,3124.3390000000004
sweep_rbf_riblt_n100000_sim100_t3,rbf_riblt,3,1,1,2.991808,1.0,2991.808
sweep_rbf_riblt_n100000_sim100_t4,rbf_riblt,4,1,1,3.118169,1.0,3118.169
sweep_rbf_riblt_n100000_sim100_t5,rbf_riblt,5,1,1,3.017616,1.0,3017.616
sweep_rbf_riblt_n100000_sim10_t1,rbf_riblt,1,0.1,1,3.907492,0.1,3907.492
sweep_rbf_riblt_n100000_sim10_t2,rbf_riblt,2,0.1,1,4.049631,0.1,4049.631
sweep_rbf_riblt_n100000_sim10_t3,rbf_riblt,3,0.1,1,3.985233,0.1,3985.233
sweep_rbf_riblt_n100000_sim10_t4,rbf_riblt,4,0.1,1,3.874809,0.1,3874.8089999999997
sweep_rbf_riblt_n100000_sim10_t5,rbf_riblt,5,0.1,1,4.48204,0.1,4482.04
sweep_rbf_riblt_n100000_sim20_t1,rbf_riblt,1,0.2,1,4.209269,0.2,4209.269
sweep_rbf_riblt_n100000_sim20_t2,rbf_riblt,2,0.2,1,4.315137,0.2,4315.137
sweep_rbf_riblt_n100000_sim20_t3,rbf_riblt,3,0.2,1,4.04761,0.2,4047.6099999999997
sweep_rbf_riblt_n100000_sim20_t4,rbf_riblt,4,0.2,1,4.099193,0.2,4099.192999999999
sweep_rbf_riblt_n100000_sim20_t5,rbf_riblt,5,0.2,1,4.064947,0.2,4064.947
sweep_rbf_riblt_n100000_sim30_t1,rbf_riblt,1,0.3,1,4.452761,0.3,4452.7609999999995
sweep_rbf_riblt_n100000_sim30_t2,rbf_riblt,2,0.3,1,4.31093,0.3,4310.93
sweep_rbf_riblt_n100000_sim30_t3,rbf_riblt,3,0.3,1,4.365959,0.3,4365.959
sweep_rbf_riblt_n100000_sim30_t4,rbf_riblt,4,0.3,1,4.271956,0.3,4271.956
sweep_rbf_riblt_n100000_sim30_t5,rbf_riblt,5,0.3,1,4.349802,0.3,4349.802000000001
sweep_rbf_riblt_n100000_sim40_t1,rbf_riblt,1,0.4,1,4.088812,0.4,4088.812
sweep_rbf_riblt_n100000_sim40_t2,rbf_riblt,2,0.4,1,4.356663,0.4,4356.6630000000005
sweep_rbf_riblt_n100000_sim40_t3,rbf_riblt,3,0.4,1,4.349614,0.4,4349.614
sweep_rbf_riblt_n100000_sim40_t4,rbf_riblt,4,0.4,1,4.33715,0.4,4337.150000000001
sweep_rbf_riblt_n100000_sim40_t5,rbf_riblt,5,0.4,1,4.4114510000000005,0.4,4411.451
sweep_rbf_riblt_n100000_sim50_t1,rbf_riblt,1,0.5,1,5.2420670000000005,0.5,5242.067000000001
sweep_rbf_riblt_n100000_sim50_t2,rbf_riblt,2,0.5,1,4.6719740000000005,0.5,4671.974
sweep_rbf_riblt_n100000_sim50_t3,rbf_riblt,3,0.5,1,5.267372,0.5,5267.372
sweep_rbf_riblt_n100000_sim50_t4,rbf_riblt,4,0.5,1,4.637626000000001,0.5,4637.626000000001
sweep_rbf_riblt_n100000_sim50_t5,rbf_riblt,5,0.5,1,4.516938,0.5,4516.938
sweep_rbf_riblt_n100000_sim60_t1,rbf_riblt,1,0.6,1,4.652843,0.6,4652.843
sweep_rbf_riblt_n100000_sim60_t2,rbf_riblt,2,0.6,1,4.952429,0.6,4952.429
sweep_rbf_riblt_n100000_sim60_t3,rbf_riblt,3,0.6,1,5.050212,0.6,5050.212
sweep_rbf_riblt_n100000_sim60_t4,rbf_riblt,4,0.6,1,4.812983,0.6,4812.983
sweep_rbf_riblt_n100000_sim60_t5,rbf_riblt,5,0.6,1,4.781737,0.6,4781.737
sweep_rbf_riblt_n100000_sim70_t1,rbf_riblt,1,0.7,1,4.921113,0.7,4921.113
sweep_rbf_riblt_n100000_sim70_t2,rbf_riblt,2,0.7,1,4.794313,0.7,4794.313
sweep_rbf_riblt_n100000_sim70_t3,rbf_riblt,3,0.7,1,4.788525,0.7,4788.525
sweep_rbf_riblt_n100000_sim70_t4,rbf_riblt,4,0.7,1,4.804399,0.7,4804.399
sweep_rbf_riblt_n100000_sim70_t5,rbf_riblt,5,0.7,1,4.706715,0.7,4706.715
sweep_rbf_riblt_n100000_sim75_t1,rbf_riblt,1,0.75,1,4.892889,0.75,4892.889
sweep_rbf_riblt_n100000_sim75_t2,rbf_riblt,2,0.75,1,5.009923,0.75,5009.923
sweep_rbf_riblt_n100000_sim75_t3,rbf_riblt,3,0.75,1,5.331504000000001,0.75,5331.504000000001
sweep_rbf_riblt_n100000_sim75_t4,rbf_riblt,4,0.75,1,5.657919,0.75,5657.919
sweep_rbf_riblt_n100000_sim75_t5,rbf_riblt,5,0.75,1,6.01759,0.75,6017.59
sweep_rbf_riblt_n100000_sim80_t1,rbf_riblt,1,0.8,1,4.860405999999999,0.8,4860.405999999999
sweep_rbf_riblt_n100000_sim80_t2,rbf_riblt,2,0.8,1,4.943239,0.8,4943.2390000000005
sweep_rbf_riblt_n100000_sim80_t3,rbf_riblt,3,0.8,1,4.904139,0.8,4904.139
sweep_rbf_riblt_n100000_sim80_t4,rbf_riblt,4,0.8,1,4.958776,0.8,4958.776
sweep_rbf_riblt_n100000_sim80_t5,rbf_riblt,5,0.8,1,4.754646,0.8,4754.646
sweep_rbf_riblt_n100000_sim85_t1,rbf_riblt,1,0.85,1,5.304746000000001,0.85,5304.746000000001
sweep_rbf_riblt_n100000_sim85_t2,rbf_riblt,2,0.85,1,4.925503,0.85,4925.503
sweep_rbf_riblt_n100000_sim85_t3,rbf_riblt,3,0.85,1,5.852913,0.85,5852.9130000000005
sweep_rbf_riblt_n100000_sim85_t4,rbf_riblt,4,0.85,1,5.096659,0.85,5096.659
sweep_rbf_riblt_n100000_sim85_t5,rbf_riblt,5,0.85,1,5.518249,0.85,5518.249
sweep_rbf_riblt_n100000_sim90_t1,rbf_riblt,1,0.9,1,4.952853,0.9,4952.853
sweep_rbf_riblt_n100000_sim90_t2,rbf_riblt,2,0.9,1,4.999468,0.9,4999.468
sweep_rbf_riblt_n100000_sim90_t3,rbf_riblt,3,0.9,1,5.264024,0.9,5264.024
sweep_rbf_riblt_n100000_sim90_t4,rbf_riblt,4,0.9,1,4.706608999999999,0.9,4706.6089999999995
sweep_rbf_riblt_n100000_sim90_t5,rbf_riblt,5,0.9,1,6.482747,0.9,6482.746999999999
sweep_rbf_riblt_n100000_sim95_t1,rbf_riblt,1,0.95,1,4.151994,0.95,4151.994000000001
sweep_rbf_riblt_n100000_sim95_t2,rbf_riblt,2,0.95,1,4.4638,0.95,4463.8
sweep_rbf_riblt_n100000_sim95_t3,rbf_riblt,3,0.95,1,4.706794,0.95,4706.794000000001
sweep_rbf_riblt_n100000_sim95_t4,rbf_riblt,4,0.95,1,4.398933,0.95,4398.933
sweep_rbf_riblt_n100000_sim95_t5,rbf_riblt,5,0.95,1,4.31116,0.95,4311.16
sweep_rbf_riblt_n100000_sim97_t1,rbf_riblt,1,0.97,1,4.065111,0.97,4065.111
sweep_rbf_riblt_n100000_sim97_t2,rbf_riblt,2,0.97,1,4.473344,0.97,4473.344
sweep_rbf_riblt_n100000_sim97_t3,rbf_riblt,3,0.97,1,3.997536,0.97,3997.536
sweep_rbf_riblt_n100000_sim97_t4,rbf_riblt,4,0.97,1,4.251933999999999,0.97,4251.933999999999
sweep_rbf_riblt_n100000_sim97_t5,rbf_riblt,5,0.97,1,4.09554,0.97,4095.54
sweep_rbf_riblt_n100000_sim99_t1,rbf_riblt,1,0.99,1,3.722082,0.99,3722.082
sweep_rbf_riblt_n100000_sim99_t2,rbf_riblt,2,0.99,1,3.923554,0.99,3923.554
sweep_rbf_riblt_n100000_sim99_t3,rbf_riblt,3,0.99,1,3.985422,0.99,3985.4219999999996
sweep_rbf_riblt_n100000_sim99_t4,rbf_riblt,4,0.99,1,3.572854,0.99,3572.854
sweep_rbf_riblt_n100000_sim99_t5,rbf_riblt,5,0.99,1,3.621177,0.99,3621.1769999999997
sweep_riblt_n100000_sim00_t1,riblt,1,0,1,22.095033,0.0,22095.033
sweep_riblt_n100000_sim00_t2,riblt,2,0,1,21.312931,0.0,21312.931
sweep_riblt_n100000_sim00_t3,riblt,3,0,1,20.963713,0.0,20963.713
sweep_riblt_n100000_sim00_t4,riblt,4,0,1,22.089595000000003,0.0,22089.595
sweep_riblt_n100000_sim00_t5,riblt,5,0,1,20.52582,0.0,20525.82
sweep_riblt_n100000_sim05_t1,riblt,1,0.05,1,20.803599,0.05,20803.599
sweep_riblt_n100000_sim05_t2,riblt,2,0.05,1,20.516617,0.05,20516.617
sweep_riblt_n100000_sim05_t3,riblt,3,0.05,1,19.791087,0.05,19791.087
sweep_riblt_n100000_sim05_t4,riblt,4,0.05,1,21.015320000000003,0.05,21015.320000000003
sweep_riblt_n100000_sim05_t5,riblt,5,0.05,1,20.621628,0.05,20621.628
sweep_riblt_n100000_sim100_t1,riblt,1,1,1,3.194396,1.0,3194.3959999999997
sweep_riblt_n100000_sim100_t2,riblt,2,1,1,3.058454,1.0,3058.4539999999997
sweep_riblt_n100000_sim100_t3,riblt,3,1,1,3.08538,1.0,3085.3799999999997
sweep_riblt_n100000_sim100_t4,riblt,4,1,1,3.045122,1.0,3045.1220000000003
sweep_riblt_n100000_sim100_t5,riblt,5,1,1,3.229502,1.0,3229.502
sweep_riblt_n100000_sim10_t1,riblt,1,0.1,1,17.603284,0.1,17603.284
sweep_riblt_n100000_sim10_t2,riblt,2,0.1,1,17.230964999999998,0.1,17230.964999999997
sweep_riblt_n100000_sim10_t3,riblt,3,0.1,1,21.208978,0.1,21208.978
sweep_riblt_n100000_sim10_t4,riblt,4,0.1,1,24.122216,0.1,24122.216
sweep_riblt_n100000_sim10_t5,riblt,5,0.1,1,21.133755,0.1,21133.755
sweep_riblt_n100000_sim20_t1,riblt,1,0.2,1,16.659917,0.2,16659.917
sweep_riblt_n100000_sim20_t2,riblt,2,0.2,1,16.01324,0.2,16013.24
sweep_riblt_n100000_sim20_t3,riblt,3,0.2,1,16.828051,0.2,16828.051
sweep_riblt_n100000_sim20_t4,riblt,4,0.2,1,15.665506,0.2,15665.506000000001
sweep_riblt_n100000_sim20_t5,riblt,5,0.2,1,16.240884,0.2,16240.884000000002
sweep_riblt_n100000_sim30_t1,riblt,1,0.3,1,14.522256,0.3,14522.256000000001
sweep_riblt_n100000_sim30_t2,riblt,2,0.3,1,14.672007999999998,0.3,14672.007999999998
sweep_riblt_n100000_sim30_t3,riblt,3,0.3,1,14.827074,0.3,14827.074
sweep_riblt_n100000_sim30_t4,riblt,4,0.3,1,14.604989,0.3,14604.989
sweep_riblt_n100000_sim30_t5,riblt,5,0.3,1,16.166781999999998,0.3,16166.781999999997
sweep_riblt_n100000_sim40_t1,riblt,1,0.4,1,15.504551,0.4,15504.551
sweep_riblt_n100000_sim40_t2,riblt,2,0.4,1,14.730704,0.4,14730.704
sweep_riblt_n100000_sim40_t3,riblt,3,0.4,1,13.126764,0.4,13126.764
sweep_riblt_n100000_sim40_t4,riblt,4,0.4,1,13.648012,0.4,13648.011999999999
sweep_riblt_n100000_sim40_t5,riblt,5,0.4,1,14.201972,0.4,14201.972
sweep_riblt_n100000_sim50_t1,riblt,1,0.5,1,11.838866,0.5,11838.866
sweep_riblt_n100000_sim50_t2,riblt,2,0.5,1,11.644217,0.5,11644.216999999999
sweep_riblt_n100000_sim50_t3,riblt,3,0.5,1,11.879177,0.5,11879.177
sweep_riblt_n100000_sim50_t4,riblt,4,0.5,1,11.676488,0.5,11676.488000000001
sweep_riblt_n100000_sim50_t5,riblt,5,0.5,1,11.203267,0.5,11203.267
sweep_riblt_n100000_sim60_t1,riblt,1,0.6,1,10.829772,0.6,10829.772
sweep_riblt_n100000_sim60_t2,riblt,2,0.6,1,11.133753,0.6,11133.753
sweep_riblt_n100000_sim60_t3,riblt,3,0.6,1,10.99814,0.6,10998.14
sweep_riblt_n100000_sim60_t4,riblt,4,0.6,1,11.356708,0.6,11356.707999999999
sweep_riblt_n100000_sim60_t5,riblt,5,0.6,1,11.570479,0.6,11570.479000000001
sweep_riblt_n100000_sim70_t1,riblt,1,0.7,1,10.519105,0.7,10519.105
sweep_riblt_n100000_sim70_t2,riblt,2,0.7,1,9.838807,0.7,9838.806999999999
sweep_riblt_n100000_sim70_t3,riblt,3,0.7,1,10.072167,0.7,10072.167
sweep_riblt_n100000_sim70_t4,riblt,4,0.7,1,10.015632,0.7,10015.632
sweep_riblt_n100000_sim70_t5,riblt,5,0.7,1,10.31303,0.7,10313.029999999999
sweep_riblt_n100000_sim75_t1,riblt,1,0.75,1,9.184619,0.75,9184.618999999999
sweep_riblt_n100000_sim75_t2,riblt,2,0.75,1,9.360499,0.75,9360.499000000002
sweep_riblt_n100000_sim75_t3,riblt,3,0.75,1,9.779715,0.75,9779.715
sweep_riblt_n100000_sim75_t4,riblt,4,0.75,1,10.491926,0.75,10491.926
sweep_riblt_n100000_sim75_t5,riblt,5,0.75,1,9.649264,0.75,9649.264000000001
sweep_riblt_n100000_sim80_t1,riblt,1,0.8,1,9.414349,0.8,9414.349
sweep_riblt_n100000_sim80_t2,riblt,2,0.8,1,9.360162,0.8,9360.162
sweep_riblt_n100000_sim80_t3,riblt,3,0.8,1,9.086971,0.8,9086.971
sweep_riblt_n100000_sim80_t4,riblt,4,0.8,1,10.733571,0.8,10733.571
sweep_riblt_n100000_sim80_t5,riblt,5,0.8,1,10.642632,0.8,10642.632000000001
sweep_riblt_n100000_sim85_t1,riblt,1,0.85,1,10.805908,0.85,10805.908000000001
sweep_riblt_n100000_sim85_t2,riblt,2,0.85,1,10.718389,0.85,10718.389000000001
sweep_riblt_n100000_sim85_t3,riblt,3,0.85,1,8.766138,0.85,8766.137999999999
sweep_riblt_n100000_sim85_t4,riblt,4,0.85,1,9.297535,0.85,9297.535
sweep_riblt_n100000_sim85_t5,riblt,5,0.85,1,9.385815,0.85,9385.814999999999
sweep_riblt_n100000_sim90_t1,riblt,1,0.9,1,9.015394,0.9,9015.394
sweep_riblt_n100000_sim90_t2,riblt,2,0.9,1,8.817876,0.9,8817.876
sweep_riblt_n100000_sim90_t3,riblt,3,0.9,1,9.097621,0.9,9097.621000000001
sweep_riblt_n100000_sim90_t4,riblt,4,0.9,1,8.658665,0.9,8658.664999999999
sweep_riblt_n100000_sim90_t5,riblt,5,0.9,1,8.229733,0.9,8229.733
sweep_riblt_n100000_sim95_t1,riblt,1,0.95,1,7.44746,0.95,7447.46
sweep_riblt_n100000_sim95_t2,riblt,2,0.95,1,7.005233,0.95,7005.232999999999
sweep_riblt_n100000_sim95_t3,riblt,3,0.95,1,6.7333490000000005,0.95,6733.349
sweep_riblt_n100000_sim95_t4,riblt,4,0.95,1,6.741766,0.95,6741.7660000000005
sweep_riblt_n100000_sim95_t5,riblt,5,0.95,1,7.0035110000000005,0.95,7003.511
sweep_riblt_n100000_sim97_t1,riblt,1,0.97,1,6.668509,0.97,6668.509
sweep_riblt_n100000_sim97_t2,riblt,2,0.97,1,7.741452,0.97,7741.452
sweep_riblt_n100000_sim97_t3,riblt,3,0.97,1,6.923278,0.97,6923.278
sweep_riblt_n100000_sim97_t4,riblt,4,0.97,1,6.225371,0.97,6225.371
sweep_riblt_n100000_sim97_t5,riblt,5,0.97,1,6.984837,0.97,6984.8369999999995
sweep_riblt_n100000_sim99_t1,riblt,1,0.99,1,5.384198,0.99,5384.197999999999
sweep_riblt_n100000_sim99_t2,riblt,2,0.99,1,5.575761,0.99,5575.761
sweep_riblt_n100000_sim99_t3,riblt,3,0.99,1,5.292209000000001,0.99,5292.209000000001
sweep_riblt_n100000_sim99_t4,riblt,4,0.99,1,5.298717999999999,0.99,5298.717999999999
sweep_riblt_n100000_sim99_t5,riblt,5,0.99,1,5.440949000000001,0.99,5440.9490000000005
